,time,package_id,core_0,core_1
183,Thu Nov 18 17:13:14 2021,55.0,52.0,54.0
184,Thu Nov 18 17:13:16 2021,55.0,53.0,55.0
185,Thu Nov 18 17:13:18 2021,55.0,52.0,55.0
186,Thu Nov 18 17:13:20 2021,55.0,52.0,55.0
187,Thu Nov 18 17:13:22 2021,55.0,53.0,55.0
188,Thu Nov 18 17:13:24 2021,55.0,52.0,55.0
189,Thu Nov 18 17:13:26 2021,56.0,52.0,54.0
190,Thu Nov 18 17:13:28 2021,56.0,52.0,55.0
191,Thu Nov 18 17:13:30 2021,55.0,52.0,53.0
192,Thu Nov 18 17:13:32 2021,55.0,52.0,55.0
193,Thu Nov 18 17:13:34 2021,55.0,52.0,55.0
194,Thu Nov 18 17:13:36 2021,55.0,52.0,55.0
195,Thu Nov 18 17:13:38 2021,55.0,52.0,55.0
196,Thu Nov 18 17:13:40 2021,55.0,53.0,54.0
197,Thu Nov 18 17:13:42 2021,56.0,54.0,56.0
198,Thu Nov 18 17:13:44 2021,55.0,54.0,55.0
199,Thu Nov 18 17:13:46 2021,54.0,52.0,56.0
200,Thu Nov 18 17:13:48 2021,56.0,52.0,55.0
201,Thu Nov 18 17:13:50 2021,55.0,53.0,55.0
202,Thu Nov 18 17:13:52 2021,56.0,53.0,55.0
203,Thu Nov 18 17:13:54 2021,56.0,52.0,54.0
204,Thu Nov 18 17:13:56 2021,55.0,52.0,55.0
205,Thu Nov 18 17:13:58 2021,56.0,52.0,55.0
206,Thu Nov 18 17:14:00 2021,55.0,52.0,55.0
207,Thu Nov 18 17:14:02 2021,55.0,52.0,55.0
208,Thu Nov 18 17:14:04 2021,55.0,53.0,54.0
209,Thu Nov 18 17:14:06 2021,56.0,52.0,55.0
210,Thu Nov 18 17:14:08 2021,55.0,53.0,55.0
211,Thu Nov 18 17:14:10 2021,56.0,52.0,55.0
212,Thu Nov 18 17:14:12 2021,56.0,52.0,55.0
213,Thu Nov 18 17:14:14 2021,61.0,61.0,62.0
214,Thu Nov 18 17:14:16 2021,56.0,52.0,55.0
215,Thu Nov 18 17:14:18 2021,56.0,51.0,55.0
216,Thu Nov 18 17:14:20 2021,56.0,52.0,55.0
217,Thu Nov 18 17:14:22 2021,56.0,52.0,55.0
218,Thu Nov 18 17:14:24 2021,57.0,54.0,55.0
219,Thu Nov 18 17:14:26 2021,56.0,52.0,55.0
220,Thu Nov 18 17:14:28 2021,56.0,52.0,55.0
221,Thu Nov 18 17:14:30 2021,56.0,52.0,55.0
222,Thu Nov 18 17:14:32 2021,56.0,52.0,54.0
223,Thu Nov 18 17:14:34 2021,56.0,53.0,55.0
224,Thu Nov 18 17:14:36 2021,56.0,52.0,55.0
225,Thu Nov 18 17:14:38 2021,57.0,53.0,54.0
226,Thu Nov 18 17:14:40 2021,56.0,52.0,55.0
227,Thu Nov 18 17:14:42 2021,56.0,53.0,56.0
228,Thu Nov 18 17:14:44 2021,57.0,52.0,55.0
229,Thu Nov 18 17:14:46 2021,57.0,53.0,56.0
230,Thu Nov 18 17:14:48 2021,56.0,52.0,56.0
231,Thu Nov 18 17:14:50 2021,56.0,52.0,54.0
232,Thu Nov 18 17:14:52 2021,56.0,53.0,54.0
233,Thu Nov 18 17:14:54 2021,56.0,52.0,55.0
234,Thu Nov 18 17:14:56 2021,56.0,53.0,55.0
235,Thu Nov 18 17:14:58 2021,55.0,52.0,56.0
236,Thu Nov 18 17:15:00 2021,56.0,53.0,55.0
237,Thu Nov 18 17:15:02 2021,56.0,52.0,56.0
238,Thu Nov 18 17:15:04 2021,56.0,53.0,57.0
239,Thu Nov 18 17:15:06 2021,56.0,52.0,56.0
240,Thu Nov 18 17:15:08 2021,57.0,53.0,55.0
241,Thu Nov 18 17:15:10 2021,56.0,53.0,56.0
242,Thu Nov 18 17:15:12 2021,57.0,52.0,54.0
243,Thu Nov 18 17:15:14 2021,56.0,53.0,55.0
244,Thu Nov 18 17:15:16 2021,56.0,53.0,55.0
245,Thu Nov 18 17:15:18 2021,56.0,52.0,54.0
246,Thu Nov 18 17:15:20 2021,57.0,53.0,56.0
247,Thu Nov 18 17:15:22 2021,56.0,52.0,55.0
248,Thu Nov 18 17:15:24 2021,56.0,52.0,56.0
249,Thu Nov 18 17:15:26 2021,56.0,53.0,55.0
250,Thu Nov 18 17:15:28 2021,56.0,52.0,55.0
251,Thu Nov 18 17:15:30 2021,56.0,53.0,55.0
252,Thu Nov 18 17:15:32 2021,56.0,53.0,56.0
253,Thu Nov 18 17:15:34 2021,57.0,53.0,55.0
254,Thu Nov 18 17:15:36 2021,56.0,52.0,55.0
255,Thu Nov 18 17:15:38 2021,55.0,53.0,55.0
256,Thu Nov 18 17:15:40 2021,56.0,52.0,55.0
257,Thu Nov 18 17:15:42 2021,56.0,53.0,55.0
258,Thu Nov 18 17:15:44 2021,57.0,53.0,55.0
259,Thu Nov 18 17:15:46 2021,56.0,53.0,55.0
260,Thu Nov 18 17:15:48 2021,56.0,52.0,55.0
261,Thu Nov 18 17:15:50 2021,56.0,53.0,56.0
262,Thu Nov 18 17:15:52 2021,57.0,52.0,55.0
263,Thu Nov 18 17:15:54 2021,56.0,53.0,55.0
264,Thu Nov 18 17:15:56 2021,57.0,52.0,55.0
265,Thu Nov 18 17:15:58 2021,56.0,53.0,55.0
266,Thu Nov 18 17:16:00 2021,56.0,52.0,56.0
267,Thu Nov 18 17:16:02 2021,56.0,53.0,56.0
268,Thu Nov 18 17:16:04 2021,56.0,52.0,56.0
269,Thu Nov 18 17:16:06 2021,56.0,52.0,57.0
270,Thu Nov 18 17:16:08 2021,56.0,53.0,56.0
271,Thu Nov 18 17:16:10 2021,56.0,52.0,55.0
272,Thu Nov 18 17:16:12 2021,56.0,52.0,55.0
273,Thu Nov 18 17:16:14 2021,56.0,53.0,55.0
274,Thu Nov 18 17:16:16 2021,56.0,53.0,55.0
275,Thu Nov 18 17:16:18 2021,56.0,53.0,55.0
276,Thu Nov 18 17:16:20 2021,56.0,52.0,55.0
277,Thu Nov 18 17:16:22 2021,56.0,52.0,56.0
278,Thu Nov 18 17:16:24 2021,56.0,52.0,56.0
279,Thu Nov 18 17:16:26 2021,56.0,53.0,55.0
280,Thu Nov 18 17:16:28 2021,56.0,52.0,56.0
281,Thu Nov 18 17:16:30 2021,55.0,53.0,55.0
282,Thu Nov 18 17:16:32 2021,56.0,54.0,56.0
283,Thu Nov 18 17:16:34 2021,56.0,53.0,56.0
284,Thu Nov 18 17:16:36 2021,56.0,53.0,55.0
285,Thu Nov 18 17:16:38 2021,57.0,54.0,56.0
286,Thu Nov 18 17:16:40 2021,57.0,53.0,56.0
287,Thu Nov 18 17:16:42 2021,56.0,53.0,55.0
288,Thu Nov 18 17:16:44 2021,56.0,53.0,56.0
289,Thu Nov 18 17:16:46 2021,56.0,53.0,56.0
290,Thu Nov 18 17:16:48 2021,56.0,54.0,55.0
291,Thu Nov 18 17:16:50 2021,56.0,52.0,56.0
292,Thu Nov 18 17:16:52 2021,55.0,52.0,56.0
293,Thu Nov 18 17:16:54 2021,57.0,52.0,55.0
294,Thu Nov 18 17:16:56 2021,56.0,52.0,55.0
295,Thu Nov 18 17:16:58 2021,57.0,52.0,56.0
296,Thu Nov 18 17:17:00 2021,56.0,52.0,56.0
297,Thu Nov 18 17:17:02 2021,56.0,52.0,56.0
298,Thu Nov 18 17:17:04 2021,56.0,52.0,54.0
299,Thu Nov 18 17:17:06 2021,56.0,53.0,56.0
300,Thu Nov 18 17:17:08 2021,56.0,53.0,56.0
301,Thu Nov 18 17:17:10 2021,56.0,53.0,55.0
302,Thu Nov 18 17:17:12 2021,56.0,52.0,55.0
303,Thu Nov 18 17:17:14 2021,55.0,52.0,55.0
304,Thu Nov 18 17:17:16 2021,58.0,53.0,56.0
305,Thu Nov 18 17:17:18 2021,56.0,53.0,56.0
306,Thu Nov 18 17:17:20 2021,56.0,52.0,55.0
307,Thu Nov 18 17:17:22 2021,56.0,53.0,56.0
308,Thu Nov 18 17:17:24 2021,56.0,53.0,56.0
309,Thu Nov 18 17:17:26 2021,56.0,53.0,56.0
310,Thu Nov 18 17:17:28 2021,56.0,53.0,57.0
311,Thu Nov 18 17:17:30 2021,57.0,53.0,56.0
312,Thu Nov 18 17:17:32 2021,56.0,53.0,56.0
313,Thu Nov 18 17:17:34 2021,57.0,53.0,56.0
314,Thu Nov 18 17:17:36 2021,57.0,53.0,56.0
315,Thu Nov 18 17:17:38 2021,56.0,53.0,56.0
316,Thu Nov 18 17:17:40 2021,57.0,53.0,56.0
317,Thu Nov 18 17:17:42 2021,56.0,52.0,56.0
318,Thu Nov 18 17:17:44 2021,57.0,53.0,55.0
319,Thu Nov 18 17:17:46 2021,56.0,53.0,56.0
320,Thu Nov 18 17:17:48 2021,56.0,52.0,55.0
321,Thu Nov 18 17:17:50 2021,57.0,54.0,56.0
322,Thu Nov 18 17:17:52 2021,57.0,53.0,56.0
323,Thu Nov 18 17:17:54 2021,58.0,52.0,56.0
324,Thu Nov 18 17:17:56 2021,57.0,52.0,56.0
325,Thu Nov 18 17:17:58 2021,57.0,54.0,56.0
326,Thu Nov 18 17:18:00 2021,57.0,52.0,55.0
327,Thu Nov 18 17:18:02 2021,57.0,53.0,56.0
328,Thu Nov 18 17:18:04 2021,56.0,53.0,55.0
329,Thu Nov 18 17:18:06 2021,57.0,53.0,56.0
330,Thu Nov 18 17:18:08 2021,56.0,53.0,56.0
331,Thu Nov 18 17:18:10 2021,56.0,52.0,55.0
332,Thu Nov 18 17:18:12 2021,56.0,52.0,54.0
333,Thu Nov 18 17:18:14 2021,57.0,53.0,55.0
334,Thu Nov 18 17:18:16 2021,56.0,52.0,55.0
335,Thu Nov 18 17:18:18 2021,57.0,53.0,55.0
336,Thu Nov 18 17:18:20 2021,57.0,53.0,55.0
337,Thu Nov 18 17:18:23 2021,57.0,53.0,55.0
338,Thu Nov 18 17:18:25 2021,56.0,52.0,55.0
339,Thu Nov 18 17:18:27 2021,57.0,52.0,55.0
340,Thu Nov 18 17:18:29 2021,56.0,53.0,56.0
341,Thu Nov 18 17:18:31 2021,56.0,52.0,55.0
342,Thu Nov 18 17:18:33 2021,56.0,53.0,54.0
343,Thu Nov 18 17:18:35 2021,56.0,53.0,55.0
344,Thu Nov 18 17:18:37 2021,57.0,53.0,56.0
345,Thu Nov 18 17:18:39 2021,57.0,53.0,55.0
346,Thu Nov 18 17:18:41 2021,56.0,53.0,55.0
347,Thu Nov 18 17:18:43 2021,57.0,53.0,55.0
348,Thu Nov 18 17:18:45 2021,56.0,53.0,56.0
349,Thu Nov 18 17:18:47 2021,57.0,52.0,55.0
350,Thu Nov 18 17:18:49 2021,57.0,53.0,56.0
351,Thu Nov 18 17:18:51 2021,56.0,53.0,55.0
352,Thu Nov 18 17:18:53 2021,57.0,54.0,56.0
353,Thu Nov 18 17:18:55 2021,56.0,53.0,55.0
354,Thu Nov 18 17:18:57 2021,56.0,52.0,55.0
355,Thu Nov 18 17:18:59 2021,56.0,53.0,55.0
356,Thu Nov 18 17:19:01 2021,57.0,53.0,56.0
357,Thu Nov 18 17:19:03 2021,57.0,53.0,55.0
358,Thu Nov 18 17:19:05 2021,56.0,53.0,56.0
359,Thu Nov 18 17:19:07 2021,57.0,52.0,55.0
360,Thu Nov 18 17:19:09 2021,56.0,52.0,56.0
361,Thu Nov 18 17:19:11 2021,57.0,53.0,56.0
362,Thu Nov 18 17:19:13 2021,57.0,53.0,55.0
363,Thu Nov 18 17:19:15 2021,57.0,52.0,55.0
364,Thu Nov 18 17:19:17 2021,57.0,54.0,55.0
365,Thu Nov 18 17:19:19 2021,57.0,54.0,56.0
366,Thu Nov 18 17:19:21 2021,56.0,53.0,55.0
367,Thu Nov 18 17:19:23 2021,57.0,53.0,56.0
368,Thu Nov 18 17:19:25 2021,56.0,53.0,55.0
369,Thu Nov 18 17:19:27 2021,57.0,54.0,56.0
370,Thu Nov 18 17:19:29 2021,57.0,52.0,55.0
371,Thu Nov 18 17:19:31 2021,56.0,54.0,54.0
372,Thu Nov 18 17:19:33 2021,57.0,53.0,55.0
373,Thu Nov 18 17:19:35 2021,57.0,53.0,55.0
374,Thu Nov 18 17:19:37 2021,56.0,52.0,55.0
375,Thu Nov 18 17:19:39 2021,56.0,54.0,56.0
376,Thu Nov 18 17:19:41 2021,57.0,53.0,57.0
377,Thu Nov 18 17:19:43 2021,58.0,53.0,56.0
378,Thu Nov 18 17:19:45 2021,58.0,53.0,56.0
379,Thu Nov 18 17:19:47 2021,56.0,53.0,55.0
380,Thu Nov 18 17:19:49 2021,56.0,54.0,56.0
381,Thu Nov 18 17:19:51 2021,57.0,53.0,56.0
